stature_cm,weight_kg,chest_circumference,buttock_circumference,waist_circumference,thigh_circumference,ankle_circumference,biacromial_breadth,knee_height_sitting
166.6,79.7,112.8,103.1,88.5,63.0,23.8,35.1,52.0
152.8,49.7,90.5,92.8,67.2,53.2,19.4,35.5,45.2
156.7,57.2,96.1,95.8,67.6,56.5,20.9,35.3,48.7
183.6,74.5,96.9,100.9,76.0,59.8,20.9,39.3,57.5
154.6,52.7,84.7,98.1,69.8,57.2,19.2,34.1,48.3
152.4,54.8,85.9,91.7,65.5,60.6,20.6,35.9,47.6
183.6,80.6,93.0,104.8,76.7,65.1,23.1,37.6,60.9
162.6,62.5,95.8,96.3,76.8,58.6,21.8,37.3,50.2
154.9,54.0,90.0,93.4,68.6,54.6,20.1,33.6,47.5
163.2,48.5,77.6,88.4,59.8,51.0,20.2,34.2,49.4
166.2,60.3,95.8,92.4,69.3,54.9,21.1,38.0,52.7
162.1,53.8,86.6,93.2,67.4,54.9,20.7,36.5,50.9
164.8,51.8,80.9,89.4,61.9,53.4,19.0,35.0,51.7
163.3,60.9,91.5,97.0,70.2,55.5,21.1,35.9,51.7
164.6,58.5,93.6,94.1,67.0,53.6,20.8,36.9,50.2
172.7,75.0,96.1,105.2,77.8,63.0,22.1,36.0,54.1
163.6,84.8,106.0,114.3,87.2,74.2,23.9,37.7,51.3
162.6,61.4,97.2,96.6,78.3,57.4,20.7,33.6,50.5
156.8,57.8,87.5,96.9,64.8,60.1,20.1,35.2,48.8
161.7,63.5,86.8,99.7,74.4,59.9,21.4,36.3,53.0
155.3,57.1,86.2,97.2,70.6,59.6,19.6,35.4,48.6
153.5,49.8,80.3,90.3,65.5,53.1,18.7,33.8,47.2
165.4,54.3,86.2,86.2,65.4,52.9,20.4,37.9,51.3
165.6,65.0,96.7,103.0,70.6,60.5,21.1,36.0,51.6
151.8,44.3,82.2,84.1,60.3,48.6,18.6,35.2,45.8
164.2,65.5,97.1,97.9,78.7,62.0,20.1,35.5,51.3
168.2,67.4,90.6,98.2,75.5,57.3,23.8,36.2,53.1
170.0,63.8,90.9,98.6,72.0,57.5,21.4,39.6,55.2
151.7,55.2,89.6,99.4,75.8,58.0,19.5,33.6,47.0
164.5,80.7,107.2,112.6,96.9,67.2,20.3,38.5,54.7
168.3,61.0,88.2,99.7,70.4,58.5,21.5,34.2,52.7
166.3,67.7,102.9,100.2,76.4,60.8,22.3,39.3,54.0
168.1,55.3,87.5,92.8,71.5,52.2,18.9,34.9,52.2
154.1,48.7,87.9,87.1,68.2,51.5,18.9,35.2,45.9
162.7,60.3,99.3,96.1,74.2,55.1,20.3,37.1,50.5
165.5,73.7,103.8,105.1,84.2,65.4,21.9,37.0,51.0
162.0,54.3,81.2,92.3,64.1,53.5,21.9,31.0,48.9
150.5,61.0,99.5,96.6,85.1,57.8,19.5,35.3,46.6
179.5,82.1,100.9,110.5,84.3,67.2,22.9,35.5,57.8
180.8,68.3,86.6,98.4,71.6,59.3,21.9,39.4,57.5
165.6,64.5,95.9,98.9,78.5,58.8,20.6,35.4,51.5
165.7,69.4,100.2,102.7,83.1,59.1,21.1,36.0,51.1
159.6,57.8,90.9,96.7,73.4,59.6,19.8,33.2,50.6
154.8,45.4,79.8,86.8,63.5,49.4,18.2,37.5,48.3
160.0,62.5,90.9,102.4,79.1,62.2,20.7,36.0,51.1
167.5,54.4,83.2,88.6,63.4,52.5,21.1,37.6,53.5
162.0,59.8,86.8,99.7,69.6,58.6,19.8,36.3,52.0
159.5,65.7,89.1,101.0,78.8,58.6,22.7,36.6,52.4
161.5,60.0,91.9,97.1,69.6,56.2,21.0,36.3,49.7
162.3,78.6,96.6,104.1,82.4,67.5,24.9,35.5,51.3
164.9,76.9,98.9,110.7,84.7,68.6,23.9,35.7,50.5
170.6,76.0,99.9,105.7,87.7,64.1,22.2,38.2,56.0
161.0,59.6,88.9,94.8,71.4,57.7,21.2,36.4,51.6
159.9,59.0,91.6,97.4,74.5,58.5,20.4,37.0,51.1
174.6,63.8,84.7,100.8,68.8,60.6,23.0,37.2,55.7
161.2,62.1,94.0,96.2,70.5,60.3,21.0,36.5,53.1
159.9,50.1,81.1,90.8,66.8,54.6,18.6,33.5,50.5
165.0,60.9,87.8,94.4,73.8,54.9,19.7,33.3,52.0
165.8,76.4,101.6,113.6,88.8,64.4,20.6,34.4,52.8
155.7,59.5,84.2,94.9,69.9,60.0,19.4,35.6,50.3
161.5,60.3,90.4,100.2,76.5,60.2,21.0,34.2,51.0
163.3,69.5,99.3,105.3,79.6,62.1,22.2,33.2,52.4
159.0,61.3,86.5,97.8,72.6,62.0,20.2,35.3,51.7
158.3,64.6,97.9,99.8,81.4,57.4,22.9,34.6,49.7
157.8,58.9,87.4,97.6,70.5,57.8,20.6,36.8,51.2
159.0,45.5,78.3,86.4,62.0,48.6,19.8,33.6,45.9
159.5,51.4,86.5,88.5,68.1,52.8,21.4,35.3,51.4
154.3,50.9,85.2,87.9,66.2,53.6,19.6,36.6,51.4
156.9,53.9,83.4,91.3,66.5,54.3,19.6,35.5,50.3
145.0,49.7,87.7,87.3,71.2,52.4,20.3,33.0,45.3
