weight_kg,stature_cm,neck_base_girth,chest_girth,waist_girth,hips_buttock_girth,shoulder_girth,thigh_girth,thigh_low_girth,calf_girth,ankle_girth,forearm_girth,wrist_girth,shoulder_length,sleeveoutseam_length,forearm_length,crotchheight_length,waistback_length,thigh_length,chest_depth_length,head_girth,biacromialbreadth,scyecircoveracromion
160.4,184.63,52.59,140.36,142.05,137.62,136.15,79.15,54.32,49.43,27.41,37.23,20.94,13.49,65.37,28.79,81.07,41.49,39.45,34.23,63.49,41.803989780077025,59.26602614343551
103.75,179.52,45.96,117.66,106.42,110.15,123.36,67.57,44.03,41.2,23.4,32.33,19.99,15.34,60.42,27.8,85.28,45.83,39.39,28.12,61.57,42.43575059753288,145.76878156458042
93.39,171.6,46.88,115.91,97.82,104.53,128.44,65.74,45.28,43.82,23.87,31.2,18.02,16.7,55.84,25.45,79.47,49.22,36.47,27.39,57.09,45.09617080428568,193.5958660520198
82.96,181.19,43.55,103.55,94.6,100.06,115.91,60.43,41.88,35.02,20.82,31.63,18.3,14.99,59.31,27.2,88.72,48.42,40.02,24.43,56.12,41.35381999992211,157.57020741163132
90.75,173.66,47.43,112.98,97.75,104.63,120.34,60.23,43.45,40.55,22.71,31.62,20.05,13.84,58.44,26.69,82.49,45.29,38.07,26.65,57.91,41.423965800440456,148.4834947236377
80.93,167.73,43.21,108.07,93.45,103.43,116.83,60.33,38.02,36.55,20.43,30.72,17.26,15.51,53.03,24.17,75.98,45.09,41.39,25.64,58.1,40.58004688702054,123.00408295777856
65.66,169.75,39.77,94.78,79.93,92.29,109.63,55.59,38.46,35.61,21.1,27.61,16.88,15.18,56.04,25.66,85.27,38.51,39.35,22.49,54.78,39.03120970414069,92.21917898470224
75.21,183.6,43.74,100.9,82.38,91.59,117.65,55.72,38.18,36.04,19.58,30.85,15.97,14.94,58.73,25.74,91.86,44.95,41.0,23.15,59.87,41.63634815814544,141.90545373693658
89.09,176.71,44.97,111.98,99.6,105.67,119.92,61.09,39.36,36.59,21.3,29.48,16.9,14.15,58.7,26.58,85.78,48.6,41.69,27.26,56.85,41.3151283252936,157.5767559884428
84.4,170.13,45.5,109.29,90.09,100.71,122.83,63.11,44.4,38.58,21.49,30.35,15.61,15.39,54.33,25.8,82.6,42.02,40.12,25.92,59.68,42.25130355168975,146.90909954526137
73.96,170.96,41.26,106.33,91.32,97.12,114.49,58.19,38.99,37.47,20.2,28.78,15.56,15.31,53.83,24.91,83.71,46.55,37.5,24.76,57.25,40.98199761168226,178.28152719003106
89.72,166.82,48.5,117.39,99.09,105.62,126.64,64.35,41.65,38.18,21.3,32.71,18.41,15.24,56.98,24.91,79.28,39.1,38.05,28.7,58.27,42.09117032267135,119.80857525892702
70.36,162.87,41.12,100.59,87.13,98.36,114.38,57.9,37.85,34.93,20.08,29.58,16.37,13.96,57.39,26.63,77.72,43.77,37.51,23.1,55.83,39.65132625137915,125.53556912325928
83.59,179.81,43.67,107.9,93.47,102.6,117.89,61.22,41.28,34.88,21.01,29.4,18.48,15.27,59.76,27.25,89.09,44.96,40.94,25.12,57.79,41.78286459119368,142.68178174278614
78.74,170.12,44.59,102.5,94.19,102.85,116.67,61.13,41.04,36.82,21.44,30.63,17.47,15.31,54.93,25.87,87.53,36.97,40.36,25.18,56.11,40.22647139836644,104.10957626311409
96.24,182.49,45.96,116.45,97.09,104.58,126.77,61.83,42.2,39.26,22.82,33.49,19.55,16.8,57.87,26.97,86.73,43.3,37.98,26.84,57.77,43.82739045158148,130.70626333340886
76.55,184.2,43.4,105.05,81.07,91.87,122.8,56.97,36.48,33.95,20.18,30.62,16.4,17.41,61.02,28.81,91.75,47.22,43.16,24.36,61.37,44.6251220313286,162.99564227296395
97.62,179.34,46.21,109.73,97.17,115.88,126.96,67.68,47.54,37.98,22.37,31.14,17.89,15.95,58.25,25.84,88.59,49.53,40.99,24.87,60.35,44.826393177194646,177.76358357922084
64.61,173.92,42.34,84.16,75.41,90.06,109.46,51.95,39.19,38.4,21.27,30.29,17.83,16.26,59.18,28.73,84.62,41.94,40.58,19.7,60.17,40.99973182251938,90.95612327137883
79.45,170.73,41.79,100.39,90.43,99.65,115.61,60.8,44.35,37.16,20.47,30.42,16.9,16.04,54.53,25.84,81.82,48.54,37.0,23.13,59.68,42.06548534218122,175.6299902262336
76.95,174.95,40.83,102.37,88.06,99.13,116.8,59.4,40.18,37.42,21.75,29.41,17.42,15.42,59.96,28.31,86.47,44.88,37.63,23.52,55.8,41.575198841206706,138.54267605915982
72.66,178.67,44.43,98.77,80.2,94.11,113.5,54.57,39.51,37.92,21.81,29.38,16.77,15.36,59.09,29.4,88.55,42.85,39.94,22.38,58.24,41.78853410934474,141.14726473263943
118.57,184.1,50.4,125.47,114.63,112.87,136.72,70.15,47.23,44.04,23.95,33.76,20.14,19.13,59.92,27.1,91.43,50.15,39.14,31.06,60.78,48.229239539472914,208.7583708915745
92.59,190.38,45.83,104.68,96.89,105.16,121.14,62.22,41.92,35.72,21.92,30.98,18.67,16.5,62.46,29.43,93.63,46.51,43.67,25.91,59.56,43.22588335506798,120.75185058880578
93.25,176.96,45.21,112.96,94.48,102.45,122.94,63.51,43.94,38.82,21.1,32.11,17.72,14.44,58.72,27.91,82.11,49.43,36.61,26.77,61.08,42.328001531445175,173.80760275749498
80.13,171.97,41.65,102.23,86.35,104.24,115.15,61.74,41.03,39.43,22.55,28.75,16.58,14.84,56.92,25.63,81.44,43.48,37.92,24.44,58.28,40.33578120891773,114.97447581434403
87.26,179.24,43.31,99.92,92.09,107.28,114.23,62.56,44.85,38.74,22.59,32.38,19.4,15.1,56.18,25.79,83.25,51.9,39.45,23.9,59.22,41.33164768093883,159.37230123542793
99.5,186.41,45.58,110.91,103.97,107.78,120.42,63.8,47.0,41.33,24.4,34.44,19.65,14.87,60.25,27.69,90.44,50.13,41.61,26.4,58.37,42.27611234308985,166.37550097055464
139.65,179.67,52.22,134.47,131.79,128.87,136.08,78.17,51.01,46.84,24.93,36.16,20.75,16.57,60.15,27.89,82.01,54.68,36.54,32.94,59.79,46.329901019466874,219.73938244432776
79.53,180.57,44.29,101.56,86.72,100.01,113.57,59.46,39.86,37.98,20.55,31.66,17.46,15.36,61.61,28.7,89.61,49.98,41.03,24.49,56.52,41.89303803290602,179.42432637759998
76.12,167.11,41.37,103.24,90.33,95.67,112.36,58.39,40.18,37.74,21.68,28.88,16.78,14.85,55.06,25.69,78.83,43.84,38.01,24.61,54.81,39.59461287939342,130.46992263313996
67.2,169.37,38.06,89.79,82.47,97.31,104.15,58.57,41.39,35.73,19.49,27.68,16.6,14.51,53.91,25.66,81.0,47.74,37.35,21.24,56.76,38.45637951554581,142.58102088764525
91.76,180.87,42.62,113.93,100.7,106.25,120.95,61.18,42.58,39.46,23.41,31.03,17.53,15.25,60.91,27.94,88.67,45.49,39.24,27.71,56.46,41.66546531468414,136.06994662860473
117.51,183.85,44.27,130.24,121.14,116.87,127.38,66.47,44.99,41.96,22.81,32.77,19.64,15.02,60.33,26.36,90.46,51.78,36.03,31.71,62.25,42.94477008941031,198.1285956056098
113.86,186.9,45.66,118.29,113.11,117.37,131.73,68.66,46.71,40.55,24.59,34.94,20.77,15.49,64.35,30.03,90.64,52.23,41.13,27.72,61.92,44.80538087707729,163.1643823362691
88.27,178.37,41.62,108.05,95.05,103.93,120.77,62.85,40.01,37.3,22.53,31.32,17.41,16.39,60.37,27.08,88.6,43.89,41.32,25.94,55.51,41.98428404436762,118.32199149110244
81.0,172.49,41.16,101.53,95.38,106.79,114.47,60.59,41.06,38.71,21.18,28.33,16.59,15.97,53.88,24.68,79.23,47.17,38.18,23.4,59.98,41.27021737594006,131.57478941007992
88.52,181.5,41.09,104.0,96.87,105.91,114.77,62.62,43.98,39.36,23.12,29.52,17.23,15.88,61.23,28.57,87.74,46.38,37.41,25.72,60.78,41.32921919097265,133.4065604330616
80.98,164.52,43.57,105.98,92.96,100.14,119.66,64.42,41.45,39.04,21.58,31.32,17.81,15.03,53.46,25.58,77.15,43.9,34.65,27.25,59.12,40.61114431264699,142.88990952404538
78.59,176.8,44.4,104.65,87.85,96.28,120.11,59.18,40.39,33.4,20.72,31.8,17.89,14.68,56.97,26.7,84.78,47.23,38.66,25.36,59.16,41.63643487100738,154.36860831473552
142.82,183.86,52.79,135.52,132.3,133.14,132.7,74.67,49.66,43.62,23.44,34.14,19.82,15.67,64.38,28.87,81.91,48.33,38.37,33.77,60.6,44.16266167365354,132.02426956985016
94.68,183.81,42.91,109.69,103.01,105.66,118.26,62.16,41.73,38.24,21.03,33.11,19.19,14.64,60.52,27.36,92.59,52.54,43.16,26.75,60.91,41.484671476315484,181.7236892495083
83.09,175.32,40.05,102.59,88.08,103.48,117.42,66.55,41.41,39.76,20.5,29.65,16.44,15.12,59.27,28.78,86.73,48.07,40.46,23.55,57.59,41.52519761569862,160.42296724270125
98.64,188.98,43.36,111.59,98.24,105.9,121.71,63.38,45.11,40.5,22.34,31.02,17.86,16.05,63.43,28.48,90.99,51.2,41.2,27.1,59.73,43.251545456934934,157.1327955356631
